arm,category,quote,speaker,company,job_title,podcast,episode,url,verification_status
Pac,Beauty/Personal Care,A perfect look doesn't matter as much as keeping plastics out of landfills.,Kate Assaraf,Dip Haircare,CEO / Founder,Product & Packaging Powerhouse,Building a Seven-Figure Haircare Brand Rooted in Sustainable Ingredients,https://www.glcblog.site/2025/11/18/seven-figure-sustainable-brand-lessons-from-dip-haircare/,verified_blog_summary
Pac,Beauty/Personal Care,Packaging in 2026 will be chosen for supply chain flexibility rather than standout unique aesthetics.,Alli Reed,Sespia and Stratia,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Pac,Beauty/Personal Care,More stock-style shapes form factors shared across multiple SKUs and even a shift toward labels rather than screen-printed artwork.,Alli Reed,Sespia and Stratia,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Pac,Beauty/Personal Care,Brands are replacing free-of statements with claims documentation.,Christina Mahar,Craft Beauty Lab,Founder and CEO,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Pac,Beauty/Personal Care,Packaging is our biggest challenge...tariffs go up you feel it right away.,Laura Schubert,Fur,Co-founder,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Pac,Beauty/Personal Care,Customers were getting duty bills…so we had to rethink packaging.,Maekaeda Gibbons,Brown Sugar Babe,Founder & CEO,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Pac,Beauty/Personal Care,Being sustainable is not only good for the planet but also makes economic sense. Using less plastic means reduced cost.,Nilendu Sarkar,Elida Beauty,COO of Supply Chain,Business Focus Magazine,Elida Beauty: Iconic Beauty Brands Reborn — COO Interview,https://businessfocusmagazine.com/2026/04/09/elida-beauty-iconic-beauty-brands-reborn-interview-with-coo-of-supply-chain-nilendu-sarkar/,verified
Pac,Beauty/Personal Care,We have changed over 70% of our vessels to U.S.-based suppliers and have improved our sustainability footprint in the process.,Martha Van Inwegen,Life Elements,Founder,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Pac,Beauty/Personal Care,It would be a complete game changer if we could have our packaging produced in the U.S. as well.,Lisa Bonoff,Lumion Life,Co-Founder,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Pac,Beauty/Personal Care,We have been seeing price increases across the board with respect to our packaging costs all year.,Victoria Flores,Lux Beauty Club CBD,Co-Founder,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Pac,Beauty/Personal Care,The challenge today is to keep the function while reducing the carbon impact.,Vincent Enaux,GF Biochemicals,Executive,Global Cosmetics News Podcast,Redefining Personal Care for 2026,https://globalcosmeticsnews.podbean.com/,verified
Pac,Beauty/Personal Care,Sustainability is one of the key pillars of our brand and we are always looking for innovative solutions that align clean beauty and a clean planet.,Greg Starkman,Innersense Organic Beauty,Co-Founder and CEO,Consumer Goods Technology,Innersense Turns To Pouches for Sustainable Packaging Innovation,https://consumergoods.com/innersense-organic-beauty-turns-pouches-sustainable-packaging-innovation,verified_published
Pac,Beauty/Personal Care,We are excited to launch our refill pouches that make it easier for our customers to cut back on plastic by reusing and refilling their hair care bottles at home.,Greg Starkman,Innersense Organic Beauty,Co-Founder and CEO,Consumer Goods Technology,Innersense Turns To Pouches for Sustainable Packaging Innovation,https://consumergoods.com/innersense-organic-beauty-turns-pouches-sustainable-packaging-innovation,verified_published
Pac,Beauty/Personal Care,"Hair care packaging is larger in size, heavier in weight, and typically sits in our showers, so the bottles have to be functional and safe in a wet environment.",Greg Starkman,Innersense Organic Beauty,Co-Founder and CEO,PR Newswire / Packaging Gateway,Haircare Packaging Unique Challenges,https://www.prnewswire.com/news-releases/clean-hair-care-brand-innersense-organic-beauty-announces-packaging-refresh-with-transition-to-bottles-made-of-100-pcr-301146850.html,verified_published
Pac,Beauty/Personal Care,"Consumers are calling out brands for unnecessary plastic, oversized bottles and wasteful design.",Shay Hoelscher,Prive,CEO,Beauty Independent,What Will Be In And Out For Haircare In 2026,https://www.beautyindependent.com/what-will-be-in-out-haircare-2026/,verified_published
Pac,Beauty/Personal Care,50% of the people that I've worked with...their art hasn't been the same on run one to run two,Cody Ponsler,Belmark,Packaging Expert,The Startup CPG Podcast,#260 Packaging Changes as you Grow,https://startupcpg.transistor.fm/episodes/260-packaging-changes-as-you-grow-with-evies-snacks-and-belmark/transcript,full_transcript
Pac,Beauty/Personal Care,We had a very specific packaging aesthetic in mind. And it took a while to find what we wanted.,Akua Boakye Okunseinde,Karite,Co-founder,The Startup CPG Podcast,Founder Feature: Akua Boakye Okunseinde of Karite,https://startupcpg.transistor.fm/episodes/founder-feature-akua-boakye-okunseinde-of-karite/transcript,full_transcript
Pac,Beauty/Personal Care,People love the packaging...but people didn't understand what it was,Jessica Hamel,PlantChi,Founder,The Startup CPG Podcast,Founder Feature: Jessica Hamel of PlantChi,https://startupcpg.transistor.fm/episodes/founder-feature-jessica-hamel-of-plantchi/transcript,full_transcript
Agency,Beauty/Personal Care,If your hero ingredient is only made by one company and that company suddenly triples its price or increases its lead time by 20 weeks you're out of luck.,Alli Reed,Sespia / Stratia,Founder,Beauty Independent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_publisher
Agency,Beauty/Personal Care,Large MOQs and rigid production lines are increasingly misaligned with current brand launch strategies.,Fred Khoury,Above Rinaldi Labs,President,Beauty Independent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_publisher
Agency,Beauty/Personal Care,Manufacturers that can move fast scale cleanly and support tighter forecasting will have a real edge.,James Hart,Merit Manufacturing,COO,Beauty Independent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_publisher
Agency,Beauty/Personal Care,Delays expediting and missed launches are the real budget killers.,Ali Perry-Hatch,Pure Earth Labs,Founder / CEO,Beauty Independent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_publisher
Agency,Beauty/Personal Care,We've had to rethink lead times and safety stock.,Laura Schubert,Fur,Co-founder,BeautyMatter,How Beauty Brands Are Planning for a Strategic 2026,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_publisher
Agency,Beauty/Personal Care,We made most of our products in Korea... it used to be no tariffs but now we have to navigate tariffs.,Alicia Yoon,Peach & Lily,Founder,BeautyMatter,How Beauty Brands Are Planning for a Strategic 2026,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_publisher
Agency,Beauty/Personal Care,Regulatory support isn't expensive reactive clean-up is.,Mo Lovelace,Steinberg & Associates Inc,Co-Chief Executive Officer,Product & Packaging Powerhouse,MoCRA & Must-Know Regulations for Beauty Brands in 2026,https://www.glcblog.site/2026/02/03/regulatory-survival-2026-beauty-personal-care/,verified_blog_summary
Agency,Beauty/Personal Care,If your hero ingredient is only made by one company and that company suddenly triples its price or increases its lead time by 20 weeks you're out of luck.,Alli Reed,Sespia and Stratia,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Ongoing tariff uncertainty will push more brands to prioritize near-shore and U.S.-based production.,Edward Smith III,Ayo Labs,Director of Sales and Marketing,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Large upfront production commitments that limit a brand's ability to test learn and scale.,Edward Smith III,Ayo Labs,Director of Sales and Marketing,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Manufacturers that invest in modular equipment small batch capabilities and rapid iteration will lead the market.,Fred Khoury,Above Rinaldi Labs,President,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Manufacturers must educate brands on true cost structures...clearer delineation between development and production costs.,Fred Khoury,Above Rinaldi Labs,President,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Manufacturers that can move fast scale cleanly and support tighter forecasting will have a real edge.,James Hart,Merit Manufacturing,COO,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Nearshored production that hits deadlines. Fewer border crossings fewer surprises faster recovery.,Ali Perry-Hatch,Pure Earth Labs / Earth Harbor,Founder and CEO,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Further consolidation...Larger contract manufacturers are realizing the importance of being involved with brands from the early onset.,Kyle LaFond,Natural Contract Manufacturing / American Provenance,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,Brands will look to local contract labs as a way to overcome trade or tariff barriers.,Chris Dodge,Beauty Bridge Labs,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,The one-two punch of tariffs and inflation means many brands are moving away from manufacturer-proprietary ingredients.,Alli Reed,Sespia and Stratia,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Agency,Beauty/Personal Care,We made most of our products in Korea…it used to be no tariffs but now we have to navigate tariffs that come into the US.,Alicia Yoon,Peach & Lily,Founder,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Agency,Beauty/Personal Care,The two top priorities are execution and discipline and doubling down on precision.,Suveen Sahib,K18,Co-founder & CEO,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Agency,Beauty/Personal Care,We're continuing to grow our store footprint with Ulta Beauty in the US.,Amanda Domaleczny,Live Tinted,President,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Agency,Beauty/Personal Care,We could have done international already but we always believe in growing through productivity.,Alicia Yoon,Peach & Lily,Founder,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Agency,Beauty/Personal Care,The plan is to go to other markets like New York and Houston as time progresses.,Maekaeda Gibbons,Brown Sugar Babe,Founder & CEO,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Agency,Beauty/Personal Care,We rewired close to 3000 SKUs. Every artwork every formulation every supply route was redesigned all while improving service.,Nilendu Sarkar,Elida Beauty,COO of Supply Chain,Business Focus Magazine,Elida Beauty: Iconic Beauty Brands Reborn — COO Interview,https://businessfocusmagazine.com/2026/04/09/elida-beauty-iconic-beauty-brands-reborn-interview-with-coo-of-supply-chain-nilendu-sarkar/,verified
Agency,Beauty/Personal Care,When we select suppliers we don't look just at the technology but consider other factors such as how important we are to them.,Nilendu Sarkar,Elida Beauty,COO of Supply Chain,Business Focus Magazine,Elida Beauty: Iconic Beauty Brands Reborn — COO Interview,https://businessfocusmagazine.com/2026/04/09/elida-beauty-iconic-beauty-brands-reborn-interview-with-coo-of-supply-chain-nilendu-sarkar/,verified
Agency,Beauty/Personal Care,A production in the past that may have taken four to six months is now taking six to nine months and logistics and freight have increased more than 5X.,Jennifer Yen,Purlisse and Yensa Beauty,Founder and CEO,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,Our sea freight costs are more than 250% up from earlier this year.,Pooja Ganesan,Booni Doon,Founder,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,We have bought deep but not recklessly focused on ingredients that are hard to procure and planned inventory one year ahead.,Gemma DePalma,Foria,Chief Supply Officer,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,We manufacture everything domestically here in the U.S. so we have some relief that our goods are not sitting on a freighter.,Stan Ades,Pacific Shaving Company,Co-Founder and CEO,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,Be as transparent as humanly possible with the customer on the issues that you are facing as a company.,Sara Cullen,GEM Health,Founder and CEO,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,Make sure that you also have backup suppliers in other countries or preferably in the same country as you.,Marie Arlet,Sheabrand,Co-Founder and COO,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,We are now placing them six months in advance.,Aleezeh Khan,CTZN Cosmetics,Co-Founder and Head of Operations,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,Perhaps industry players could partner more when buying and ship products together. This could fill trucks ease bottlenecks and share costs.,Gemma DePalma,Foria,Chief Supply Officer,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,It was a big financial undertaking but we knew a potential disruption in business would be more devastating in the long run.,Meredith Krill,Swair,Co-Founder,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,We told our lab we would be willing to substitute delayed ingredients in our formulations as long as they are as clean and efficacious.,Meredith Krill,Swair,Co-Founder,Beauty Independent,Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,verified
Agency,Beauty/Personal Care,I really built very good relationships with my suppliers,Suzannah Raff,Cleo+Coco,Founder,The Startup CPG Podcast,Founder Feature: Suzannah Raff of Cleo+Coco,https://startupcpg.transistor.fm/episodes/founder-feature-suzannah-raff-of-cleo-coco/transcript,full_transcript
Agency,Beauty/Personal Care,We built out some forecasts and financing,Suzannah Raff,Cleo+Coco,Founder,The Startup CPG Podcast,Founder Feature: Suzannah Raff of Cleo+Coco,https://startupcpg.transistor.fm/episodes/founder-feature-suzannah-raff-of-cleo-coco/transcript,full_transcript
Agency,Beauty/Personal Care,"Finding the sourcing for our ingredients, finding the packaging...get a contract manufacturer to actually formulate the product.",Akua Boakye Okunseinde,Karite,Co-founder,The Startup CPG Podcast,Founder Feature: Akua Boakye Okunseinde of Karite,https://startupcpg.transistor.fm/episodes/founder-feature-akua-boakye-okunseinde-of-karite/transcript,full_transcript
Agency,Beauty/Personal Care,How hard retail is...doing a national retail rollout is tough,Akua Boakye Okunseinde,Karite,Co-founder,The Startup CPG Podcast,Founder Feature: Akua Boakye Okunseinde of Karite,https://startupcpg.transistor.fm/episodes/founder-feature-akua-boakye-okunseinde-of-karite/transcript,full_transcript
Agency,Beauty/Personal Care,"I need to produce 10,000 units...how much of ingredient A, B and C do I need?",Veronica Blue,Phenomenal Foods Co,Founder and CEO,The Startup CPG Podcast,#194 AI for Ops with YANY Beauty and Phenomenal Foods Co,https://startupcpg.transistor.fm/episodes/193-ai-for-ops-with-yany-beauty-and-phenomenal-foods-co/transcript,full_transcript
Both,Beauty/Personal Care,We have to know where every single piece of the pie is at the same time... package... formula... label... liner... unit box.,Robyn Watkins,Holistic Beauty Group,Founder / Chief Product Developer,WHERE BRAINS MEET BEAUTY,Robyn Watkins Founder and Chief Product Developer of Holistic Beauty Group,https://www.wherebrainsmeetbeauty.com/episode-191/,verified_show_notes
Both,Beauty/Personal Care,It's much harder than it looks product development.,Robyn Watkins,Holistic Beauty Group,Founder / Chief Product Developer,WHERE BRAINS MEET BEAUTY,Robyn Watkins Founder and Chief Product Developer of Holistic Beauty Group,https://www.wherebrainsmeetbeauty.com/episode-191/,verified_show_notes
Both,Beauty/Personal Care,Packaging legislation compliance is fully reliant on accurate specification data.,John Blake,Gartner,Senior Director Analyst,BeautyMatter,The Beauty Packaging Trends Set to Define 2026,https://beautymatter.com/articles/the-beauty-packaging-trends-set-to-define-2026,verified_publisher
Both,Beauty/Personal Care,Both manufacturers and brands are wary of the compliance and downstream issues created by skipping packaging stability or challenge testing in favor of fast launches.,Christina Mahar,Craft Beauty Lab,Founder / CEO,Beauty Independent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_publisher
Both,Beauty/Personal Care,We built redundancy diversified suppliers and even started near-sourcing packaging.,Suveen Sahib,K18,Co-founder / CEO,BeautyMatter,How Beauty Brands Are Planning for a Strategic 2026,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_publisher
Both,Beauty/Personal Care,True sustainability should consider ingredient sourcing ethical labor operational impacts and consumer habits.,Kate Assaraf,Dip Haircare,CEO / Founder,Product & Packaging Powerhouse,Building a Seven-Figure Haircare Brand Rooted in Sustainable Ingredients,https://www.glcblog.site/2025/11/18/seven-figure-sustainable-brand-lessons-from-dip-haircare/,verified_blog_summary
Both,Beauty/Personal Care,Transparency will matter more too. Brands want to understand cost sourcing and feasibility upfront.,James Hart,Merit Manufacturing,COO,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Both,Beauty/Personal Care,Consumers are tired of bullshit and more importantly they can't afford it anymore.,Megan Cox,Innacos Labs,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Both,Beauty/Personal Care,Transparency will increasingly replace clean as the primary trust signal.,Warren Becker,Next Beauty Labs,Founder and CEO,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Both,Beauty/Personal Care,Consumers want transparency evidence and brands that actually mean what they say.,Christine Staples,Cohere Beauty,CEO,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Both,Beauty/Personal Care,Products built solely for a viral splash that lack formulation defensibility or supply chain durability will struggle.,Fred Khoury,Above Rinaldi Labs,President,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Both,Beauty/Personal Care,Fewer launches that are created strictly to go viral...It's become too complex and expensive to launch a product you know will be a flash in the pan.,Alli Reed,Sespia and Stratia,Founder,BeautyIndependent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_article
Both,Beauty/Personal Care,We built redundancy diversified suppliers and even started near-sourcing packaging.,Suveen Sahib,K18,Co-founder & CEO,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Both,Beauty/Personal Care,In 2026 we're bringing honesty and efficacy into tangential categories.,Lillian Tung,Fur,Co-founder,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Both,Beauty/Personal Care,When stylists are loving K18 in the back bar they will stand up for us.,Suveen Sahib,K18,Co-founder & CEO,BeautyMatter,Inside Beauty Leaders End-of-Year Playbook,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_article
Both,Beauty/Personal Care,We wanted to be frugal on capital but flexible on design. That meant choosing partners who could adapt with us.,Nilendu Sarkar,Elida Beauty,COO of Supply Chain,Business Focus Magazine,Elida Beauty: Iconic Beauty Brands Reborn — COO Interview,https://businessfocusmagazine.com/2026/04/09/elida-beauty-iconic-beauty-brands-reborn-interview-with-coo-of-supply-chain-nilendu-sarkar/,verified
Pac,Wellness/Supplements,The taste of ayahuasca is not great. Finding the right format for a capi product to taste well has been a challenge.,Gonzalo Bisquerra,Happy Caapi,Founder,The Startup CPG Podcast,Happy Caapi: The First Non-Hallucinogenic Ayahuasca Vine Supplement,https://startupcpg.transistor.fm/episodes/happy-caapi-the-first-non-hallucinogenic-ayahuasca-vine-supplement/transcript,verified_transcript
Pac,Wellness/Supplements,What we will launch though as a second phase is a disposable recyclable paper based sachet like power gels.,Gonzalo Bisquerra,Happy Caapi,Founder,The Startup CPG Podcast,Happy Caapi: The First Non-Hallucinogenic Ayahuasca Vine Supplement,https://startupcpg.transistor.fm/episodes/happy-caapi-the-first-non-hallucinogenic-ayahuasca-vine-supplement/transcript,verified_transcript
Pac,Wellness/Supplements,Our packaging came from Sweden. And it was a long lead time so we had like a 12 week lead time.,Sue Delegan,Brutus Bone Broth,CEO,The Startup CPG Podcast,Founder Feature: Brutus Bone Broth,https://startupcpg.transistor.fm/episodes/founder-feature-sue-delegan-and-kim-hehir-of-brutus-bone-broth/transcript,verified_transcript
Pac,Wellness/Supplements,The state of New York came back and said you cannot say with glucosamine it has to say with added glucosamine.,Sue Delegan,Brutus Bone Broth,CEO,The Startup CPG Podcast,Founder Feature: Brutus Bone Broth,https://startupcpg.transistor.fm/episodes/founder-feature-sue-delegan-and-kim-hehir-of-brutus-bone-broth/transcript,verified_transcript
Pac,Wellness/Supplements,Clean ingredients is what matters the most but how you physically interact with a product is part of the equation too.,Jess Haghani,Lucille Health,Founder and CEO,NutraIngredients,NutraWomen Wednesday: Jess Haghani of Lucille Health,https://www.nutraingredients.com/Article/2026/03/11/nutrawomen-wednesday-jess-haghani-of-lucille-health/,verified
