category,source,date,format,evidence_depth,url,primary_signals
Wellness/Supplements,Fitt Insider Podcast - #343: Jess Haghani Founder & CEO of Lucille,2026-06,podcast_episode,medium,https://insider.fitt.co/343-jess-haghani-founder-ceo-of-lucille/,Packaging accessibility (17:40 chapter); senior nutrition; DTC + assisted living distribution; Amazon launch
Wellness/Supplements,The Startup CPG Podcast - She Couldn't Find a Clean Electrolyte Brand So She Created One,2026-06-15,podcast_interview,substantial,https://startupcpg.transistor.fm/episodes/she-couldnt-find-a-clean-electrolyte-brand-so-she-created-one/transcript,clean electrolyte positioning; natural flavors transparency critique; retail expansion ambition; second production run demand signal; solopreneur ops
Wellness/Supplements,The Startup CPG Podcast - Meet the Bone Broth Protein Bar with 20g Protein & No Protein Powder,2026-08-21,podcast_episode,moderate,https://startupcpg.transistor.fm/episodes/founder-feature-mackenzie-muth-and-nolan-spencer-of-hol-health-club,"protein bar co-manufacturing, retail expansion, bootstrapped growth, former Lazard/finance founders"
Premium CPG/Beverage,Startup CPG #162: Ops Nightmares,2024-03-15,full_transcript,high,https://startupcpg.transistor.fm/episodes/162-ops-nightmares-powered-by-crstl/transcript,wrong film/packaging material; $10K ingredient loss; quality control failures; Walmart cancellation; co-packer predatory practices; contamination
Premium CPG/Beverage,Startup CPG - Founder Feature Charlie Gentry of TruJoy - Startup CPG - Founder Feature Charlie Gentry of TruJoy,2024-10-25,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/founder-feature-charlie-gentry-of-trujoy/transcript,California dairy sourcing to spec; Dallas co-packer; cold chain degradation; hidden smiley face branding; frozen shipping cost ($15/pint); Whole Foods and regional distribution
Premium CPG/Beverage,Startup CPG - Founder Feature Nikki Seaman of Freestyle Snacks - Startup CPG - Founder Feature Nikki Seaman of Freestyle Snacks,2025-01-10,podcast full transcript,deep,https://startupcpg.transistor.fm/episodes/founder-feature-nikki-seaman-of-freestyle-snacks/transcript,5 seconds to grab attention on shelf; invested in design upfront; 200+ co-packer rejections; pouch innovation; secondary display strategy; Whole Foods national; Delta flights; TikTok Shop
Premium CPG/Beverage,Startup CPG - Founder Feature Ollie and Sophie Spring of OOSO Sparkling Tea - Startup CPG - Founder Feature Ollie and Sophie Spring of OOSO Sparkling Tea,2025-10-10,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/founder-feature-ollie-sophie-spring-of-ooso-sparkling-tea/transcript,color blocking minimalism on shelf; exact green chip selection for label printer; clean nutritional panel; NA beverage positioning; consumers reading back-of-can
Premium CPG/Beverage,FoodNavigator: Yough! Startup Spotlight,2025-11-13,article_quotes,moderate,https://www.foodnavigator.com/Article/2025/11/13/startup-spotlight-yough-scales-gut-friendly-frozen-pizza-with-clean-ingredients-and-specialty-retail-strategy/,co-packer equipment limitations; Greek yogurt moisture production issues; product reformulation; DTC to retail transition; lean operations
Premium CPG/Beverage,Startup CPG #227: Operations AMA with Jamie Valenti-Jordan,2025-12-16,full_transcript,high,https://startupcpg.transistor.fm/episodes/227-operations-ask-me-anything-with-jamie-valenti-jordan/transcript,co-packer pricing models; shift-based costing; frozen logistics; contract negotiation; ingredient sourcing; 40% labor cost; production partner relationship
Premium CPG/Beverage,Startup CPG - Founder Feature Houston Buehrle of Little Zing - Startup CPG - Founder Feature Houston Buehrle of Little Zing,2026-01-02,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/founder-feature-houston-buehrle-of-little-zing/transcript,Boston round squeeze bottle for shelf standout; 7 label iterations; 130 stores in 8 months; go deep not wide strategy; previous product recall and bankruptcy
Premium CPG/Beverage,Startup CPG: Gato Dates with Gabriella Labi & Tonya Reznikovich,2026-01-15,full_transcript,moderate,https://startupcpg.transistor.fm/episodes/founder-feature-gabriella-labi-and-tonya-reznikovich-of-gato-dates/transcript,ingredient quality; per-unit co-packer pricing; margins; gift box and tube formats; operational details as brand differentiator
Premium CPG/Beverage,Startup CPG - Founder Feature Yaniv Simpson of The Conscious Bar - Startup CPG - Founder Feature Yaniv Simpson of The Conscious Bar,2026-01-30,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/founder-feature-yaniv-simpson-of-the-conscious-bar/transcript,100% plastic-free brand; compostable two-piece packaging; cacao sourcing scarcity; container delays; direct trade vs fair trade; natural grocery retail launch 2026; limited editions
Premium CPG/Beverage,Startup CPG: Pastazerts with Stephanie Berwick,2026-03-01,full_transcript,high,https://startupcpg.transistor.fm/episodes/founder-feature-stephanie-berwick-of-pastazerts/transcript,self-manufacturing to co-man transition; 30 co-mans contacted; 6-month onboarding; tolling vs full-service; IP protection; 3PL selection; printer reliability
Premium CPG/Beverage,Packaging Unboxd - Saving $1.3M in Packaging,2026-03-17,podcast_interview,low,https://www.packagingunboxd.com/episodes/saving-1-3m-in-packaging,data-driven packaging optimization; $1.3M savings; efficiency gains; waste reduction methodology
Premium CPG/Beverage,Startup CPG: My Better Batch with Lindsay Hancock,2026-04-01,full_transcript,high,https://startupcpg.transistor.fm/episodes/founder-feature-lindsay-hancock-of-my-better-batch/transcript,co-man selection; selling yourself to co-packers; tolling vs full-service; recipe IP protection; 3PL preparation; printer reliability; nimble packaging partners
Premium CPG/Beverage,Startup CPG #260 - Packaging Changes as you Grow - Startup CPG #260 - Packaging Changes as you Grow,2026-08-04,podcast full transcript,deep,https://startupcpg.transistor.fm/episodes/260-packaging-changes-as-you-grow-with-evies-snacks-and-belmark/transcript,packaging evolution at growth stages; MOQ; material selection; shelf life; retail packaging thresholds; inventory waste from packaging changes
Premium CPG/Beverage,Startup to Scale (Foodbevy) - Packaging That Sells: Redesigning Your Brand for the Retail Shelf,2026-08-17,podcast_episode,moderate,https://podcast.foodbevy.com/1832151/episodes,"packaging redesign for retail, shelf performance, brand evolution through packaging"
Premium CPG/Beverage,Startup CPG #262 - Beverage Manufacturing Lessons with BevSource - Startup CPG #262 - Beverage Manufacturing Lessons with BevSource,2026-08-18,podcast full transcript,deep,https://startupcpg.transistor.fm/episodes/262-beverage-manufacturing-lessons-with-bevsources-bob-williams/transcript,seam specs; leaker root cause; water chemistry; thermal processing; shelf life testing; co-packer audit; brewery-to-copacker transition; quality documentation
Wine/Spirits,Voyage Dallas - Meet Markus Kypreos of Blackland Distillery (Supplemental),2019,publisher_interview,medium,https://voyagedallas.com/interview/meet-markus-kypreos-blackland-distillery-fort-worth-texas-cultural-district-downtown/,'Custom bottle from scratch was painful tedious and difficult but results are well worth it'; bottle as shining part of early success; sophisticated bottle reputation; remastering concept across all touchpoints
Wine/Spirits,ShoutOut DFW + Voyage Dallas - Meet Markus Kypreos: Custom Bottle Design for Spirits Brands,2021,publisher_interview,high,https://shoutoutdfw.com/meet-markus-kypreos-president-owner-blackland-distillery/,Custom bottle mold from scratch; 'the bottle IS the brand'; shelf placement advantage; LA designer hired for bottle+label; 'packaging is everything in an uber-competitive alcohol market'
Wine/Spirits,VinePair / EOD Drinks - Steven Grasse: How the Creator of Hendrick's Gin and Sailor Jerry Rum Builds Iconic Brands,2022-03,publisher_interview,high,https://vinepair.com/articles/eod-drinks-steven-grasse-quaker-city-mercantile/,'The bottle needs to be the epitome of the brand idea'; 'ugly on purpose'; anti-trend design philosophy; packaging as brand nucleus; Hendrick's Victorian apothecary aesthetics; interconnected branding
Wine/Spirits,XChateau Wine Podcast - Boxing for the Environment w/ Jason Haas Tablas Creek Vineyard,2022-04-06,podcast_interview,high,https://www.xchateau.com/boxing-for-the-environment-w-jason-haas-tablas-creek-vineyard/,bag-in-box trial sold out 4hrs; 84% packaging carbon reduction; 40% overall carbon reduction; $95 pricing under $100 psychology; bottling logistics at small scale
Wine/Spirits,XChateau Wine Podcast - Cork Consistency: Francois Margot on Closure Quality,2022-06,podcast_episode,medium,https://www.xchateau.com/cork-consistency-w-francois-margot-diam-corks/,Products ranging 5-30 years aging; 150+ compounds removed in cleaning; oxygen transfer rate consistency; closure selection and aging impact; winemaker choice optimization
Wine/Spirits,XChateau Wine Podcast - Cork Consistency w/ Francois Margot Diam Corks,2022-06-01,podcast_interview,medium,https://www.xchateau.com/categories/winemaking/,cork consistency; oxygen transfer control; aging implications of closure choice; technical closure engineering
Wine/Spirits,FoodPrint - Lowering Wine's Carbon Footprint Starts with the Bottle,2023,publisher_article,high,https://foodprint.org/blog/wine-packaging/,Glass has no value in waste market; 16K paper bottles per ton vs 2K glass; heavy bottle = consumer turn-off; 'real resistance to changing packaging'; industry tradition as barrier; community-building for refill models
Wine/Spirits,XChateau Wine Podcast - Blocking and Tackling of Biodiversity: Drew Bledsoe on Sustainability,2023,podcast_episode,medium,https://www.xchateau.com/blocking-tackling-of-biodiversity-w-drew-bledsoe-josh-mcdaniels-bledsoe-wine-estates/,Doubleback bottle weight reduction; packaging reduction initiatives; 1L reusable bottles; bag-in-box consideration; sourcing glass closer to home (not China)
Wine/Spirits,Green New Perspective Podcast - Pioneering Sustainable Spirits: ecoSPIRITS,2023-07-25,podcast_interview,high,https://www.npws.net/podcast/sustainable-spirits-technology,closed-loop distribution; 95% glass waste reduction; 50% storage reduction; 60-90% carbon reduction; IoT tracking; reusable 4.5L ecoTOTES; 2000 venues globally
Wine/Spirits,Packaging Unboxd - Designing Whiskey Bottles with Chad Makerson Michaels,2024-10-11,podcast_interview,low,https://www.packagingunboxd.com/episodes/designing-whiskey-bottles-with-chad-makerson-michaels,custom spirit bottle design; storytelling through luxury spirits packaging; brand expression in glass
Wine/Spirits,Startup CPG #171 - Buyer Spotlight Taylor Cathala Whole Foods Spirits - Startup CPG #171 - Buyer Spotlight Taylor Cathala Whole Foods Spirits,2024-11-19,podcast full transcript,deep,https://startupcpg.transistor.fm/episodes/171-buyer-spotlight-taylor-cathala-senior-spirits-category-merchant-whole-foods-market/transcript,bottle design critical for spirits retail; unstructured bottle formats; canned cocktail differentiation challenge; supplier portal submission; compliance documentation; local relevance; data-driven need states
Wine/Spirits,Berlin Packaging - 2025 Wine Packaging Trends,2025,guide_article,moderate,https://www.berlinpackaging.com/insights/perspectives/2025-wine-packaging-trends,"custom and eye-catching bottles, minimalist labels, sustainable materials, digital printing, interactive packaging, 25% Gen Z/Millennials cite interactive packaging as key purchase driver"
Wine/Spirits,OpenPR / Industry - Custom Glass Molds for Craft Distilleries: When the Investment Makes Sense,2025-02,industry_article,medium,https://www.openpr.com/news/4619197/custom-glass-molds-for-craft-distilleries-when-the-investment,Tooling investment vs volume commitment trade-off; lead time implications; regulatory bottle specifications (TTB); custom vs existing mold economics; differentiation through bottle form; 64% Nielsen stat: package grabs consumer first
Wine/Spirits,Wine Talks with Paul K: Abby Bogle of Small Lot Bottles,2025-10-16,full_transcript,high,https://www.winetalkspodcast.com/wine-innovation-mini-bottles-younger-drinkers-and-an-industry-in-transition-meet-abby-bogle/,format innovation; glass vs PET; 100ml mini bottles; Coravin partnership; shipping economics; quality control; HACCP; shelf life; corporate gifting
Wine/Spirits,OrderPort - 2026 Predictions for DTC Wineries: What Will Shape the Year Ahead,2025-12-19,industry_article,moderate,https://orderport.net/decanted-industry-insights-by-orderport/2026-predictions-for-dtc-wineries-what-will-shape-the-year-ahead,"experience-based club architecture over discounts, unified commerce (tasting room + ecomm + club + events), behavioral analytics, 5 essential automation workflows"
Wine/Spirits,Business of Drinks - Saint Spritz: From DTC to 55000 Cases and the #1 RTD Spritz,2026,podcast_episode,moderate,https://podcasts.apple.com/us/podcast/business-of-drinks/id1678373669,"55K nine-liter cases in 2025, triple-digit growth, 43 states, bootstrapped, Target as growth driver, packaging/liquid/occasion alignment"
Wine/Spirits,TriplePundit - This Oregon Winery Wants to Make Refillable Bottles the Norm,2026,publisher_interview,high,https://triplepundit.com/2026/refillable-wine-bottle-recyclable-cork-willamette-valley/,Revino refillable bottle system; heavier bottles that don't need recreation; FSC-certified corks tracked to Portugal; lighter bottles for long-distance = true sustainable approach; 'had to figure it out as first movers'
Wine/Spirits,CoreBev: The Ultimate Guide to Starting a Spirits Brand in 2026,2026-01-15,industry_datapoints,moderate,https://www.corebev.com/post/the-ultimate-guide-to-starting-a-spirits-brand-in-2026,100-500 case first runs; $40-75K all-in costs; COLA 2-8 weeks; never print before COLA; stock glass + great label strategy; bar-top vs screw cap positioning
Wine/Spirits,Sustainable Packaging with Cory Connors - The Future of Bottles Is Paper with Malcolm Waugh,2026-05-03,podcast_episode,moderate,https://www.atlanticpkg.com/podcast-the-future-of-bottles-is-paper-with-malcolm-waugh/,"paper bottle technology, 6x lower carbon footprint than glass, 84% recycled paper shell, 8000 bottles at Coldplay concerts, Target retail placement"
Wine/Spirits,Sustainable Wine Roundtable: Alileo Changes Minds About Boxed Wines,2026-05-05,episode_page,low,https://swroundtable.org/how-alileo-is-changing-minds-about-boxed-wines/,bag-in-box format; 20L one-way kegs; Sicilian natural wine; sustainability commitment; consumer perception challenge; 'Boxed Wine is Not a Crime'
Wine/Spirits,XChateau Wine Podcast - The Relationship Business,2026-06-09,podcast_episode,moderate,https://www.xchateau.com/episodes/,"national scaling through distributors, Southern Glazers partnership, relationship-based selling"
Wine/Spirits,Park Street: From Liquid to Label — Building Spirits Brands,2026-08-01,article_quotes,moderate,https://www.parkstreet.com/from-liquid-to-label-building-spirits-brands-from-the-product-out/,label vs liquid priority; quality definition; design-liquid alignment; formulation→occasion→identity→package workflow; label overreach danger
Consumer Electronics/Health Tech,Product Startup Podcast - Design for Manufacturing Consumer Products,2022-01-19,podcast_interview,high,https://productstartup.com/podcast/110-design-for-manufacturing-consumer-products/,DFM prioritization; manufacturer psychology; documentation handoff; perfectionism as enemy; cost vs quality vs speed tradeoffs
Consumer Electronics/Health Tech,Product Startup Podcast - Identifying a Sourcing Partner for Overseas Manufacturing,2022-12-21,podcast_interview,high,https://productstartup.com/podcast/155-identifying-a-sourcing-partner-for-overseas-manufacturing/,factory selection; QC SOPs; backup factory strategy; retailer palletization requirements; UPC placement; logistics coordination
Consumer Electronics/Health Tech,Business Legacy Podcast - Replacing Plastics with Natural Fibers: How Ying Launched a Biomass Packaging Startup,2024-01-01,podcast_interview,medium,https://businesslegacypodcast.com/replacing-plastics-with-natural-fibers-how-ying-launched-a-biomass-packaging-startup/,plastic-free tape innovation; cost-competitive alternatives; scaling biomass production; consumer electronics packaging transition
Consumer Electronics/Health Tech,Packaging Dive (Q&A Article) - From Apple to plastic-free living: Blue Lake Packaging founder describes business pivot,2024-02-05,publisher_interview,high,https://www.packagingdive.com/news/blue-lake-packaging-ying-liu-fiber-biomaterials/705784/,fiber biomaterials replacing plastic; Apple supply chain experience; talent shortage for interdisciplinary packaging; packaging as product not wrapper
Consumer Electronics/Health Tech,Packaging Unboxd - Google's Groundbreaking Packaging,2024-08-26,podcast_interview,low,https://www.packagingunboxd.com/episodes/googles-groundbreaking-packaging,plastic-free consumer electronics packaging; sustainable innovation at scale; enterprise packaging standards
